sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:1036092	Phylander frenata	RO:0002453	host of	EOL:1229726	Adorapsylla antiquorum antiquorum	GEONAMES:3448433	Serra da Bocaina National Park	-22.733333	-44.616667	1999-06/2001-05		Moraes, L.B.D., Bossi, D.E.P. and Linhares, A.X., 2003. Siphonaptera parasites of wild rodents and marsupials trapped in three mountain ranges of the Atlantic Forest in Southeastern Brazil. Memórias do Instituto Oswaldo Cruz, 98(8), pp.1071-1076.
EOL:1179813	Akodon cursor	RO:0002453	host of	EOL:1229726	Adorapsylla antiquorum antiquorum	GEONAMES:3460600	Itatiaia National Park	-22.433333	-44.616667	1999-06/2001-05		Moraes, L.B.D., Bossi, D.E.P. and Linhares, A.X., 2003. Siphonaptera parasites of wild rodents and marsupials trapped in three mountain ranges of the Atlantic Forest in Southeastern Brazil. Memórias do Instituto Oswaldo Cruz, 98(8), pp.1071-1076.
EOL:289800	Marmosops incanus	RO:0002453	host of	EOL:1229726	Adorapsylla antiquorum antiquorum	GEONAMES:3460600	Itatiaia National Park	-22.433333	-44.616667	1999-06/2001-05		Moraes, L.B.D., Bossi, D.E.P. and Linhares, A.X., 2003. Siphonaptera parasites of wild rodents and marsupials trapped in three mountain ranges of the Atlantic Forest in Southeastern Brazil. Memórias do Instituto Oswaldo Cruz, 98(8), pp.1071-1076.
EOL:308512	Monodelphis americana	RO:0002453	host of	EOL:1229726	Adorapsylla antiquorum antiquorum	GEONAMES:3448433	Serra da Fartura	-22.055833	-46.75	1999-06/2001-05		Moraes, L.B.D., Bossi, D.E.P. and Linhares, A.X., 2003. Siphonaptera parasites of wild rodents and marsupials trapped in three mountain ranges of the Atlantic Forest in Southeastern Brazil. Memórias do Instituto Oswaldo Cruz, 98(8), pp.1071-1076.
EOL:4460331	Akodon montensis	RO:0002453	host of	EOL:1229726	Adorapsylla antiquorum antiquorum	GEONAMES:3448433	Serra da Bocaina National Park	-22.733333	-44.616667	1999-06/2001-05		Moraes, L.B.D., Bossi, D.E.P. and Linhares, A.X., 2003. Siphonaptera parasites of wild rodents and marsupials trapped in three mountain ranges of the Atlantic Forest in Southeastern Brazil. Memórias do Instituto Oswaldo Cruz, 98(8), pp.1071-1076.
EOL:1037784	Peromyscus truei	RO:0002453	host of	EOL:705559	Aetheca wagneri	GEONAMES:5336881	Chuchupate Campground is located between the Transverse Mountain Range and the Tehachapi Range in northeast Ventura County, California	34.791389	-119.003611	1982/2000		Davis, Richard M., Randall T. Smith, Minoo B. Madon, and Erika Sitko-Cleugh. Flea, rodent, and plague ecology at Chuchupate campground, Ventura County, California. Journal of Vector Ecology 27 (2002): 107-127.
EOL:310277	Microtus californicus	RO:0002453	host of	EOL:705559	Aetheca wagneri	GEONAMES:5336881	Chuchupate Campground is located between the Transverse Mountain Range and the Tehachapi Range in northeast Ventura County, California	34.791389	-119.003611	1982/2000		Davis, Richard M., Randall T. Smith, Minoo B. Madon, and Erika Sitko-Cleugh. Flea, rodent, and plague ecology at Chuchupate campground, Ventura County, California. Journal of Vector Ecology 27 (2002): 107-127.
EOL:310660	Peromyscus boylii	RO:0002453	host of	EOL:705559	Aetheca wagneri	GEONAMES:5336881	Chuchupate Campground is located between the Transverse Mountain Range and the Tehachapi Range in northeast Ventura County, California	34.791389	-119.003611	1982/2000		Davis, Richard M., Randall T. Smith, Minoo B. Madon, and Erika Sitko-Cleugh. Flea, rodent, and plague ecology at Chuchupate campground, Ventura County, California. Journal of Vector Ecology 27 (2002): 107-127.
EOL:311543	Tamias merriami	RO:0002453	host of	EOL:705559	Aetheca wagneri	GEONAMES:5336881	Chuchupate Campground is located between the Transverse Mountain Range and the Tehachapi Range in northeast Ventura County, California	34.791389	-119.003611	1982/2000		Davis, Richard M., Randall T. Smith, Minoo B. Madon, and Erika Sitko-Cleugh. Flea, rodent, and plague ecology at Chuchupate campground, Ventura County, California. Journal of Vector Ecology 27 (2002): 107-127.
EOL:311573	Peromyscus maniculatus	RO:0002453	host of	EOL:705559	Aetheca wagneri	GEONAMES:5336881	Chuchupate Campground is located between the Transverse Mountain Range and the Tehachapi Range in northeast Ventura County, California	34.791389	-119.003611	1982/2000		Davis, Richard M., Randall T. Smith, Minoo B. Madon, and Erika Sitko-Cleugh. Flea, rodent, and plague ecology at Chuchupate campground, Ventura County, California. Journal of Vector Ecology 27 (2002): 107-127.
